"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Запрос на удаление курьера с несуществующим id возвращает ошибку 404","183","Удаление курьера с несуществующим ID ошибку 404","tests","2026-06-05","passed","2026-06-05","TestDeleteCourier","test_delete_courier(dop)","",""
"Проверка создания заказа с разными вариантами цветов и получение track-номера","680","test_create_order_with_various_colors_returns_track[color0]","tests","2026-06-05","passed","2026-06-05","TestCreateOrder","test_create_order","",""
"Если передать неверный (несуществующий) id курьера, возвращается ошибка 404","436","Принятие заказа несуществующим курьером возвращается ошибка 404","tests","2026-06-05","passed","2026-06-05","TestAcceptOrder","test_accept_order(dop)","",""
"","173","Если авторизоваться под несуществующим пользователем, возвращается ошибка 404)","tests","2026-06-05","passed","2026-06-05","TestLoginCourier","test_login_courier","",""
"Если отправить запрос без id заказа, возвращается ошибка 400 или 404","775","Принятие заказа без указания ID заказа возвращается ошибка 400 или 404","tests","2026-06-05","passed","2026-06-05","TestAcceptOrder","test_accept_order(dop)","",""
"Запрос с несуществующим трек-номером возвращает ошибку 404","186","Поиск заказа по несуществующему трек-номеру ошибку 404","tests","2026-06-05","passed","2026-06-05","TestGetOrderByTrack","test_get_order(dop)","",""
"Проверка создания заказа с разными вариантами цветов и получение track-номера","417","test_create_order_with_various_colors_returns_track[color3]","tests","2026-06-05","passed","2026-06-05","TestCreateOrder","test_create_order","",""
"Проверка создания заказа с разными вариантами цветов и получение track-номера","928","test_create_order_with_various_colors_returns_track[color1]","tests","2026-06-05","passed","2026-06-05","TestCreateOrder","test_create_order","",""
"Если отправить запрос без id курьера, возвращается ошибка 400","395","Принятие заказа без указания ID курьера возвращается ошибка 400","tests","2026-06-05","passed","2026-06-05","TestAcceptOrder","test_accept_order(dop)","",""
"","175","Создание курьера без firstName возвращает ошибку 400","tests","2026-06-05","failed","2026-06-05","TestCreateCourier","test_create_courier","",""
"Если передать неверный (несуществующий) id заказа, возвращается ошибка 404","484","Принятие несуществующего заказа возвращается ошибка 404","tests","2026-06-05","passed","2026-06-05","TestAcceptOrder","test_accept_order(dop)","",""
"","619","Успешное создание курьера","tests","2026-06-05","passed","2026-06-05","TestCreateCourier","test_create_courier","",""
"Успешный запрос на удаление курьера возвращает статус 200 и {""ok"": true}","636","Успешное удаление существующего курьера","tests","2026-06-05","passed","2026-06-05","TestDeleteCourier","test_delete_courier(dop)","",""
"Запрос на удаление без id курьера возвращает ошибку","185","Удаление курьера без передачи ID","tests","2026-06-05","passed","2026-06-05","TestDeleteCourier","test_delete_courier(dop)","",""
"Если какого-то обязательного поля нет, запрос возвращает ошибку 400","247","Логин без пароля возвращает ошибку","tests","2026-06-05","passed","2026-06-05","TestLoginCourier","test_login_courier","",""
"Успешное получение данных заказа по его трек-номеру (код 200)","184","Успешное получение заказа по трек-номеру (код 200)","tests","2026-06-05","passed","2026-06-05","TestGetOrderByTrack","test_get_order(dop)","",""
"Успешный запрос возвращает статус 200 и {""ok"": true}","616","Курьер успешно принимает заказ","tests","2026-06-05","passed","2026-06-05","TestAcceptOrder","test_accept_order(dop)","",""
"Ошибка при создании курьера без обязательного поля login (ошибка 400)","172","Ошибка при создании без поля login (ошибка 400)","tests","2026-06-05","passed","2026-06-05","TestCreateCourier","test_create_courier","",""
"Нельзя создать двух одинаковых курьеров (ошибка 409)","166","Нельзя создать двух одинаковых курьеров (ошибка 409)","tests","2026-06-05","passed","2026-06-05","TestCreateCourier","test_create_courier","",""
"Запрос без трек-номера возвращает ошибку 400","180","Запрос информации о заказе без трек-номера  ошибку 400","tests","2026-06-05","passed","2026-06-05","TestGetOrderByTrack","test_get_order(dop)","",""
"Система вернёт ошибку 404, если указать неправильный пароль","203","Логин с неверным паролем ошибку 404 ","tests","2026-06-05","passed","2026-06-05","TestLoginCourier","test_login_courier","",""
"Если какого-то обязательного поля нет, запрос возвращает ошибку 400","60254","Логин без пароля возвращает ошибку","tests","2026-06-05","failed","2026-06-05","TestLoginCourier","test_login_courier","",""
"","189","Система вернёт ошибку 404, если указать неправильный логин ","tests","2026-06-05","passed","2026-06-05","TestLoginCourier","test_login_courier","",""
"Проверка создания заказа с разными вариантами цветов и получение track-номера","557","test_create_order_with_various_colors_returns_track[color2]","tests","2026-06-05","passed","2026-06-05","TestCreateOrder","test_create_order","",""
"Курьер может авторизоваться, успешный запрос возвращает id","229","Успешный логин курьера возвращает ID","tests","2026-06-05","passed","2026-06-05","TestLoginCourier","test_login_courier","",""
"Проверка, что запрос на получение списка заказов возвращает статус 200 и список объектов","14912","Получение полного списка заказов возвращает статус 200 и список объектов","tests","2026-06-05","passed","2026-06-05","TestOrdersList","test_orders_list","",""
"Ошибка при создании курьера без обязательного поля password (ошибка 400)","211","Ошибка при создании без поля password (ошибка 400)","tests","2026-06-05","passed","2026-06-05","TestCreateCourier","test_create_courier","",""
